,train_mse,test_mse,test_r2
RandomForest,198172201.66814998,298940560.81409305,0.9587548213543469
DecisionTree,466951344.8781414,562316722.5373375,0.9224165044270658
OLS_LinearRegression,1775677536.2540913,1821706641.6071677,0.7486570050298834
SGD_LinearRegression,1811828916.906923,1871488177.2130325,0.7417885883662921
